"","stationID","time_hour","temp","humid","wind_speed","pressure"
"37",1,2013-01-01 14:00:00,39.92,62.21,10.35702,1012.2
"38",2,2013-01-01 14:00:00,39.92,59.5,17.2617,1012.6
"39",3,2013-01-01 14:00:00,39.92,57.33,14.96014,1011.8
"40",1,2013-01-01 15:00:00,39.92,62.21,14.96014,1012.7
"41",2,2013-01-01 15:00:00,39.92,59.5,16.11092,1013
"42",3,2013-01-01 15:00:00,39.92,57.33,18.41248,1012.2
"43",1,2013-01-01 16:00:00,41,59.65,13.80936,1012.4
"44",2,2013-01-01 16:00:00,41,59.65,16.11092,1012.8
"45",3,2013-01-01 16:00:00,39.92,57.33,12.65858,1012.1
"46",1,2013-01-01 17:00:00,41,57.06,14.96014,1011.4
"47",2,2013-01-01 17:00:00,41,57.06,14.96014,1011.7
"48",3,2013-01-01 17:00:00,39.92,57.33,16.11092,1011.1
"49",1,2013-01-01 18:00:00,39.2,64.93,16.11092,NA
"50",2,2013-01-01 18:00:00,39.92,57.33,17.2617,1011.3
"51",3,2013-01-01 18:00:00,37.4,69.67,11.5078,NA
"52",1,2013-01-01 19:00:00,39.2,64.93,14.96014,NA
"53",2,2013-01-01 19:00:00,37.4,64.7,14.96014,NA
"54",3,2013-01-01 19:00:00,37.94,59.22,16.11092,1010.6
"55",1,2013-01-01 20:00:00,39.02,54.68,13.80936,1010.8
"56",2,2013-01-01 20:00:00,39.02,54.68,11.5078,1011.2
"57",3,2013-01-01 20:00:00,39.02,54.68,9.20624,1010.7
"58",1,2013-01-01 21:00:00,37.94,57.04,9.20624,1011.9
"59",2,2013-01-01 21:00:00,39.02,52.26,12.65858,1011.7
"60",3,2013-01-01 21:00:00,39.02,49.93,12.65858,1011.4
"61",1,2013-01-01 22:00:00,37.04,49.62,13.80936,1012.1
"62",2,2013-01-01 22:00:00,37.94,44,17.2617,1012.1
"63",3,2013-01-01 22:00:00,37.94,50.14,11.5078,1011.7
"64",1,2013-01-01 23:00:00,35.96,49.83,11.5078,1013.2
"65",2,2013-01-01 23:00:00,37.04,43.85,16.11092,1013.2
"66",3,2013-01-01 23:00:00,35.96,45.76,18.41248,1013.1
"67",1,2013-01-02,33.98,45.43,12.65858,1014.1
"68",2,2013-01-02,35.06,41.51,14.96014,1014.2
"69",3,2013-01-02,33.98,47.25,14.96014,1013.9
"70",1,2013-01-02 01:00:00,33.08,42.84,10.35702,1014.4
"71",2,2013-01-02 01:00:00,33.08,44.92,13.80936,1014.3
"72",3,2013-01-02 01:00:00,33.08,44.92,13.80936,1014.1
"73",1,2013-01-02 02:00:00,32,49.19,14.96014,1015.2
"74",2,2013-01-02 02:00:00,32,46.92,16.11092,1015.1
"75",3,2013-01-02 02:00:00,32,49.19,12.65858,1014.9
"76",1,2013-01-02 03:00:00,30.02,48.48,18.41248,1016
"77",2,2013-01-02 03:00:00,30.02,44.41,21.86482,1015.3
"78",3,2013-01-02 03:00:00,30.02,50.84,16.11092,1015.4
"79",1,2013-01-02 04:00:00,28.94,48.69,18.41248,1016.5
"80",2,2013-01-02 04:00:00,28.94,46.41,16.11092,1016.4
"81",3,2013-01-02 04:00:00,28.94,48.69,24.16638,1016.2
"82",1,2013-01-02 05:00:00,28.04,48.15,16.11092,1016.4
"83",2,2013-01-02 05:00:00,26.96,44.25,20.71404,1016.5
"84",3,2013-01-02 05:00:00,28.04,50.52,14.96014,1016.3
"85",1,2013-01-02 06:00:00,26.96,50.34,14.96014,1016.3
"86",2,2013-01-02 06:00:00,26.06,45.93,18.41248,1016.1
"87",3,2013-01-02 06:00:00,26.96,50.34,16.11092,1016.2
"88",1,2013-01-02 07:00:00,26.06,52.25,12.65858,1016.3
"89",2,2013-01-02 07:00:00,26.06,45.93,19.56326,1016.4
"90",3,2013-01-02 07:00:00,26.96,54.95,17.2617,1016.2
"91",1,2013-01-02 08:00:00,24.98,54.65,13.80936,1017
"92",2,2013-01-02 08:00:00,24.98,48.03,18.41248,1016.8
"93",3,2013-01-02 08:00:00,26.06,54.82,16.11092,1016.2
"94",1,2013-01-02 09:00:00,24.08,51.93,14.96014,1016.6
"95",2,2013-01-02 09:00:00,24.98,48.03,17.2617,1016.5
"96",3,2013-01-02 09:00:00,24.98,52.5,13.80936,1016.4
"97",1,2013-01-02 10:00:00,24.08,51.93,12.65858,1016.9
"98",2,2013-01-02 10:00:00,24.08,49.87,17.2617,1016.9
"99",3,2013-01-02 10:00:00,24.08,54.51,9.20624,1016.7
"100",1,2013-01-02 11:00:00,24.08,51.93,6.90468,1016.9
"101",2,2013-01-02 11:00:00,23,54.34,11.5078,1017.1
"102",3,2013-01-02 11:00:00,24.08,54.51,10.35702,1016.5
"103",1,2013-01-02 12:00:00,24.08,51.93,3.45234,1017.2
"104",2,2013-01-02 12:00:00,23,54.34,9.20624,1017.2
"105",3,2013-01-02 12:00:00,24.08,54.51,6.90468,1016.8
"106",1,2013-01-02 13:00:00,24.98,52.5,6.90468,1017.6
"107",2,2013-01-02 13:00:00,23,54.34,10.35702,1017.7
"108",3,2013-01-02 13:00:00,24.08,51.93,8.05546,1017.3
"109",1,2013-01-02 14:00:00,24.98,52.5,9.20624,1018.5
"110",2,2013-01-02 14:00:00,24.98,48.03,12.65858,1018.4
"111",3,2013-01-02 14:00:00,24.98,52.5,13.80936,1017.9
"112",1,2013-01-02 15:00:00,26.96,48.36,11.5078,1019
"113",2,2013-01-02 15:00:00,26.96,44.25,12.65858,1019
"114",3,2013-01-02 15:00:00,26.96,48.36,12.65858,1018.5
"115",1,2013-01-02 16:00:00,28.94,46.41,9.20624,1018.5
"116",2,2013-01-02 16:00:00,28.94,42.48,13.80936,1018.6
"117",3,2013-01-02 16:00:00,28.04,48.15,11.5078,1018
"118",1,2013-01-02 17:00:00,30.92,44.92,14.96014,1017.5
"119",2,2013-01-02 17:00:00,30.02,42.66,20.71404,1017.8
"120",3,2013-01-02 17:00:00,28.94,48.69,12.65858,1017.2
"121",1,2013-01-02 18:00:00,32,44.74,12.65858,1017.1
"122",2,2013-01-02 18:00:00,30.92,41.13,14.96014,1016.6
"123",3,2013-01-02 18:00:00,30.92,46.74,18.41248,1016.2
"124",1,2013-01-02 19:00:00,33.98,41.33,16.11092,1017.3
"125",2,2013-01-02 19:00:00,33.08,39.25,16.11092,1017.2
"126",3,2013-01-02 19:00:00,32,44.74,14.96014,1016.8
"127",1,2013-01-02 20:00:00,33.98,37.86,17.2617,1017.8
"128",2,2013-01-02 20:00:00,35.06,36.26,13.80936,1017.5
"129",3,2013-01-02 20:00:00,33.98,43.33,17.2617,1017.3
"130",1,2013-01-02 21:00:00,33.98,39.72,13.80936,1018.5
"131",2,2013-01-02 21:00:00,33.98,36.37,19.56326,1018.3
"132",3,2013-01-02 21:00:00,33.08,42.84,18.41248,1017.8
"133",1,2013-01-02 22:00:00,32,44.74,6.90468,1018.6
"134",2,2013-01-02 22:00:00,32,40.99,16.11092,1018.8
"135",3,2013-01-02 22:00:00,33.08,47.1,14.96014,1018.3
"136",1,2013-01-02 23:00:00,32,44.74,12.65858,1019.7
"137",2,2013-01-02 23:00:00,32,40.99,11.5078,1019.8
"138",3,2013-01-02 23:00:00,32,46.92,16.11092,1019.2
"139",1,2013-01-03,30.92,46.74,11.5078,1020.3
"140",2,2013-01-03,30.92,44.92,13.80936,1020.6
"141",3,2013-01-03,32,46.92,14.96014,1019.8
"142",1,2013-01-03 01:00:00,30.92,49.01,6.90468,1020.4
"143",2,2013-01-03 01:00:00,30.92,46.74,10.35702,1020.5
"144",3,2013-01-03 01:00:00,30.92,49.01,12.65858,1019.9
"145",1,2013-01-03 02:00:00,30.02,50.84,9.20624,1020.6
"146",2,2013-01-03 02:00:00,30.92,46.74,8.05546,1020.8
"147",3,2013-01-03 02:00:00,30.92,49.01,9.20624,1020.3
"148",1,2013-01-03 03:00:00,30.02,50.84,5.7539,1021.2
"149",2,2013-01-03 03:00:00,30.92,49.01,13.80936,1021.3
"150",3,2013-01-03 03:00:00,30.92,53.44,14.96014,1020.9
"151",1,2013-01-03 04:00:00,28.94,55.69,8.05546,1021.7
"152",2,2013-01-03 04:00:00,30.02,50.84,12.65858,1021.7
"153",3,2013-01-03 04:00:00,30.92,53.44,12.65858,1021.3
"154",1,2013-01-03 05:00:00,28.94,55.69,9.20624,1022.2
"155",2,2013-01-03 05:00:00,30.02,50.84,14.96014,1022
"156",3,2013-01-03 05:00:00,30.02,55.42,13.80936,1021.8
"157",1,2013-01-03 06:00:00,28.04,57.79,8.05546,1021.8
"158",2,2013-01-03 06:00:00,28.94,55.69,16.11092,1021.9
"159",3,2013-01-03 06:00:00,30.02,60.38,14.96014,1021.5
"160",1,2013-01-03 07:00:00,28.04,57.79,10.35702,1022.1
"161",2,2013-01-03 07:00:00,28.94,53.13,16.11092,1022.2
"162",3,2013-01-03 07:00:00,30.02,58.08,11.5078,1021.8
"163",1,2013-01-03 08:00:00,26.96,60.41,8.05546,1022.3
"164",2,2013-01-03 08:00:00,28.94,53.13,12.65858,1022.5
"165",3,2013-01-03 08:00:00,28.94,60.69,14.96014,1021.9
"166",1,2013-01-03 09:00:00,26.96,60.41,6.90468,1022.1
"167",2,2013-01-03 09:00:00,26.96,60.41,9.20624,1022.3
"168",3,2013-01-03 09:00:00,28.94,57.92,13.80936,1021.7
"169",1,2013-01-03 10:00:00,26.06,62.7,5.7539,1021.9
"170",2,2013-01-03 10:00:00,26.96,60.41,12.65858,1022
"171",3,2013-01-03 10:00:00,28.04,60.1,11.5078,1021.7
"172",1,2013-01-03 11:00:00,26.06,62.7,5.7539,1022
"173",2,2013-01-03 11:00:00,26.96,60.41,9.20624,1022.2
"174",3,2013-01-03 11:00:00,26.96,60.41,8.05546,1021.9
"175",1,2013-01-03 12:00:00,26.06,65.21,6.90468,1022.4
"176",2,2013-01-03 12:00:00,26.06,59.81,12.65858,1022.5
"177",3,2013-01-03 12:00:00,26.06,62.7,12.65858,1022.1
"178",1,2013-01-03 13:00:00,26.06,65.21,5.7539,1022.2
"179",2,2013-01-03 13:00:00,26.06,59.81,6.90468,1022.5
"180",3,2013-01-03 13:00:00,26.06,62.7,10.35702,1022
"181",1,2013-01-03 14:00:00,26.96,65.84,5.7539,1022.4
"182",2,2013-01-03 14:00:00,28.04,55.12,10.35702,1022.5
"183",3,2013-01-03 14:00:00,26.06,62.7,9.20624,1022.1
"184",1,2013-01-03 15:00:00,28.04,62.97,5.7539,1022.8
"185",2,2013-01-03 15:00:00,28.94,53.13,10.35702,1022.9
"186",3,2013-01-03 15:00:00,26.06,62.7,8.05546,1022.5
"187",1,2013-01-03 16:00:00,30.92,51.38,9.20624,1022.1
"188",2,2013-01-03 16:00:00,30.92,51.38,8.05546,1022.2
"189",3,2013-01-03 16:00:00,26.96,60.41,9.20624,1021.8
"190",1,2013-01-03 17:00:00,30.92,49.01,4.60312,1021
"191",2,2013-01-03 17:00:00,30.02,46.59,10.35702,1021.3
"192",3,2013-01-03 17:00:00,28.94,53.13,5.7539,1020.8
"193",1,2013-01-03 18:00:00,33.08,42.84,8.05546,1019.8
"194",2,2013-01-03 18:00:00,33.08,42.84,12.65858,1020.2
"195",3,2013-01-03 18:00:00,30.92,46.74,6.90468,1019.6
"196",1,2013-01-03 19:00:00,33.98,41.33,9.20624,1019.1
"197",2,2013-01-03 19:00:00,33.08,42.84,11.5078,1019.5
"198",3,2013-01-03 19:00:00,32,43,10.35702,1019
"199",1,2013-01-03 20:00:00,33.98,41.33,8.05546,1018.7
"200",2,2013-01-03 20:00:00,33.08,41.17,5.7539,1018.9
"201",3,2013-01-03 20:00:00,33.08,41.17,5.7539,1018.4
"202",1,2013-01-03 21:00:00,33.08,44.92,11.5078,1018.8
"203",2,2013-01-03 21:00:00,32,44.74,8.05546,1018.9
"204",3,2013-01-03 21:00:00,33.08,41.17,10.35702,1018.3
"205",1,2013-01-03 22:00:00,32,46.92,10.35702,1018.9
"206",2,2013-01-03 22:00:00,30.92,51.38,10.35702,1019.1
"207",3,2013-01-03 22:00:00,33.08,42.84,13.80936,1018.6
"208",1,2013-01-03 23:00:00,30.02,53.29,9.20624,1019.3
"209",2,2013-01-03 23:00:00,30.92,51.38,13.80936,1019.6
"210",3,2013-01-03 23:00:00,32,46.92,10.35702,1019
"211",1,2013-01-04,30.92,51.38,10.35702,1019.6
"212",2,2013-01-04,30.92,51.38,14.96014,1019.9
"213",3,2013-01-04,32,46.92,12.65858,1019.2
"214",1,2013-01-04 01:00:00,30.92,51.38,11.5078,1019.6
"215",2,2013-01-04 01:00:00,32,49.19,13.80936,1019.9
"216",3,2013-01-04 01:00:00,33.08,44.92,11.5078,1019.4
"217",1,2013-01-04 02:00:00,30.92,51.38,11.5078,1019.4
"218",2,2013-01-04 02:00:00,32,51.15,13.80936,1019.8
"219",3,2013-01-04 02:00:00,33.08,44.92,10.35702,1019
"220",1,2013-01-04 03:00:00,30.92,53.44,12.65858,1019
"221",2,2013-01-04 03:00:00,32,53.6,13.80936,1019.5
"222",3,2013-01-04 03:00:00,33.08,47.1,17.2617,1018.8
"223",1,2013-01-04 04:00:00,28.94,60.69,10.35702,1019
"224",2,2013-01-04 04:00:00,32,53.6,13.80936,1019.4
"225",3,2013-01-04 04:00:00,33.98,47.25,14.96014,1018.6
"226",1,2013-01-04 05:00:00,30.02,60.38,10.35702,1018.4
"227",2,2013-01-04 05:00:00,32,58.37,13.80936,1018.8
"228",3,2013-01-04 05:00:00,33.98,49.51,11.5078,1018
"229",1,2013-01-04 06:00:00,30.02,60.38,13.80936,1018
"230",2,2013-01-04 06:00:00,32,58.37,16.11092,1018.2
"231",3,2013-01-04 06:00:00,33.98,51.47,12.65858,1017.6
"232",1,2013-01-04 07:00:00,28.94,63.1,8.05546,1018.1
"233",2,2013-01-04 07:00:00,32,58.37,14.96014,1018.4
"234",3,2013-01-04 07:00:00,33.98,51.47,17.2617,1017.7
"235",1,2013-01-04 08:00:00,30.02,63.24,10.35702,1018.3
"236",2,2013-01-04 08:00:00,30.92,63.36,11.5078,1018.6
"237",3,2013-01-04 08:00:00,33.98,51.47,11.5078,1018
"238",1,2013-01-04 09:00:00,28.94,66.09,11.5078,1018.2
"239",2,2013-01-04 09:00:00,30.02,65.72,10.35702,1018.4
"240",3,2013-01-04 09:00:00,33.98,51.47,14.96014,1017.7
"241",1,2013-01-04 10:00:00,28.94,68.68,6.90468,1018.4
"242",2,2013-01-04 10:00:00,30.92,60.97,12.65858,1018.5
"243",3,2013-01-04 10:00:00,33.98,53.91,14.96014,1017.7
"244",1,2013-01-04 11:00:00,30.92,66.34,11.5078,1018.4
"245",2,2013-01-04 11:00:00,33.08,60.81,13.80936,1018.7
"246",3,2013-01-04 11:00:00,35.06,51.64,16.11092,1018
"247",1,2013-01-04 12:00:00,33.08,60.81,16.11092,1018.7
"248",2,2013-01-04 12:00:00,33.08,60.81,12.65858,1019
"249",3,2013-01-04 12:00:00,35.06,53.66,14.96014,1018.2
"250",1,2013-01-04 13:00:00,33.98,60.93,10.35702,1018.7
"251",2,2013-01-04 13:00:00,33.98,60.93,18.41248,1019.1
"252",3,2013-01-04 13:00:00,35.06,51.64,19.56326,1018.2
"253",1,2013-01-04 14:00:00,35.06,58.37,13.80936,1019
"254",2,2013-01-04 14:00:00,35.06,56.18,14.96014,1019.4
"255",3,2013-01-04 14:00:00,35.06,53.66,16.11092,1018.6
"256",1,2013-01-04 15:00:00,35.96,54.21,14.96014,1019
"257",2,2013-01-04 15:00:00,35.96,54.21,16.11092,1019.4
"258",3,2013-01-04 15:00:00,35.06,56.18,19.56326,1018.7
"259",1,2013-01-04 16:00:00,37.04,47.75,16.11092,1018.1
"260",2,2013-01-04 16:00:00,35.96,51.78,14.96014,1018.5
"261",3,2013-01-04 16:00:00,35.96,49.83,13.80936,1017.8
"262",1,2013-01-04 17:00:00,37.04,47.75,20.71404,1016.9
"263",2,2013-01-04 17:00:00,35.96,51.78,17.2617,1017.2
"264",3,2013-01-04 17:00:00,35.96,47.57,18.41248,1016.5
"265",1,2013-01-04 18:00:00,39.92,44.33,17.2617,1015.8
"266",2,2013-01-04 18:00:00,37.04,49.62,18.41248,1016.2
"267",3,2013-01-04 18:00:00,37.04,47.75,17.2617,1015.3
"268",1,2013-01-04 19:00:00,37.94,46.09,24.16638,1015.1
"269",2,2013-01-04 19:00:00,37.94,46.09,19.56326,1015.4
"270",3,2013-01-04 19:00:00,37.94,44,13.80936,1014.6
"271",1,2013-01-04 20:00:00,37.94,47.89,21.86482,1014.7
"272",2,2013-01-04 20:00:00,37.94,47.89,20.71404,1014.9
"273",3,2013-01-04 20:00:00,37.94,46.09,14.96014,1014.2
"274",1,2013-01-04 21:00:00,37.94,47.89,18.41248,1014.6
"275",2,2013-01-04 21:00:00,37.04,49.62,20.71404,1014.9
"276",3,2013-01-04 21:00:00,37.94,46.09,17.2617,1014.1
"277",1,2013-01-04 22:00:00,37.04,49.62,17.2617,1014.8
"278",2,2013-01-04 22:00:00,35.96,51.78,19.56326,1015.1
"279",3,2013-01-04 22:00:00,37.04,47.75,17.2617,1014.4
"280",1,2013-01-04 23:00:00,35.96,54.21,13.80936,1015.2
"281",2,2013-01-04 23:00:00,35.96,51.78,18.41248,1015.6
"282",3,2013-01-04 23:00:00,37.04,49.62,16.11092,1014.6
"283",1,2013-01-05,35.06,56.18,9.20624,1015.4
"284",2,2013-01-05,35.96,54.21,18.41248,1015.6
"285",3,2013-01-05,37.04,49.62,17.2617,1015
"286",1,2013-01-05 01:00:00,35.06,56.18,11.5078,1015.5
"287",2,2013-01-05 01:00:00,35.96,54.21,20.71404,1015.7
"288",3,2013-01-05 01:00:00,37.04,47.75,18.41248,1015
"289",1,2013-01-05 02:00:00,35.06,53.66,11.5078,1015.3
"290",2,2013-01-05 02:00:00,35.96,51.78,16.11092,1015.4
"291",3,2013-01-05 02:00:00,35.96,49.83,13.80936,1015.1
"292",1,2013-01-05 03:00:00,35.06,53.66,13.80936,1015.7
"293",2,2013-01-05 03:00:00,35.06,53.66,17.2617,1015.7
"294",3,2013-01-05 03:00:00,35.96,49.83,10.35702,1015.3
"295",1,2013-01-05 04:00:00,33.98,53.91,11.5078,1016.2
"296",2,2013-01-05 04:00:00,33.98,56.02,13.80936,1016.5
"297",3,2013-01-05 04:00:00,35.96,47.57,12.65858,1016
"298",1,2013-01-05 05:00:00,33.08,55.89,11.5078,1016.6
"299",2,2013-01-05 05:00:00,33.98,53.91,13.80936,1016.8
"300",3,2013-01-05 05:00:00,35.96,47.57,10.35702,1016.3
"301",1,2013-01-05 06:00:00,33.08,53.36,10.35702,1017.1
"302",2,2013-01-05 06:00:00,33.98,51.47,14.96014,1017.2
"303",3,2013-01-05 06:00:00,35.96,45.76,10.35702,1016.8
"304",1,2013-01-05 07:00:00,33.08,51.33,10.35702,1017.7
"305",2,2013-01-05 07:00:00,33.98,49.51,17.2617,1017.9
"306",3,2013-01-05 07:00:00,35.06,47.42,13.80936,1017.4
"307",1,2013-01-05 08:00:00,32,53.6,12.65858,1018.8
"308",2,2013-01-05 08:00:00,33.98,47.25,18.41248,1018.9
"309",3,2013-01-05 08:00:00,35.06,45.26,13.80936,1018.5
"310",1,2013-01-05 09:00:00,32,53.6,18.41248,1019.3
"311",2,2013-01-05 09:00:00,33.08,48.98,13.80936,1019.4
"312",3,2013-01-05 09:00:00,33.98,49.51,10.35702,1018.8
"313",1,2013-01-05 10:00:00,32,53.6,11.5078,1020.2
"314",2,2013-01-05 10:00:00,33.08,48.98,12.65858,1020.1
"315",3,2013-01-05 10:00:00,33.98,49.51,14.96014,1019.5
"316",1,2013-01-05 11:00:00,32,53.6,12.65858,1021
"317",2,2013-01-05 11:00:00,33.08,53.36,16.11092,1021.2
"318",3,2013-01-05 11:00:00,33.98,49.51,11.5078,1020.6
"319",1,2013-01-05 12:00:00,33.08,53.36,10.35702,1022.4
"320",2,2013-01-05 12:00:00,33.08,53.36,10.35702,1022.4
"321",3,2013-01-05 12:00:00,33.98,49.51,11.5078,1021.8
"322",1,2013-01-05 13:00:00,32,58.37,9.20624,1023
"323",2,2013-01-05 13:00:00,33.08,55.89,13.80936,1023.3
"324",3,2013-01-05 13:00:00,33.98,51.47,11.5078,1022.6
"325",1,2013-01-05 14:00:00,35.06,53.66,9.20624,1024.5
"326",2,2013-01-05 14:00:00,35.06,53.66,12.65858,1024.5
"327",3,2013-01-05 14:00:00,35.96,49.83,13.80936,1023.8
"328",1,2013-01-05 15:00:00,37.94,50.14,10.35702,1024.8
"329",2,2013-01-05 15:00:00,37.04,49.62,10.35702,1024.9
"330",3,2013-01-05 15:00:00,37.94,46.09,8.05546,1024.4
"331",1,2013-01-05 16:00:00,41,44.51,10.35702,1024.9
"332",2,2013-01-05 16:00:00,41,42.51,20.71404,1024.7
"333",3,2013-01-05 16:00:00,39.92,46.41,17.2617,1024.6
"334",1,2013-01-05 17:00:00,42.08,40.77,14.96014,1024.6
"335",2,2013-01-05 17:00:00,42.98,37.9,17.2617,1024.9
"336",3,2013-01-05 17:00:00,41,44.51,18.41248,1024.2
"337",1,2013-01-05 18:00:00,42.98,39.38,13.80936,1023.9
"338",2,2013-01-05 18:00:00,44.06,37.79,16.11092,1023.9
"339",3,2013-01-05 18:00:00,42.08,42.69,12.65858,1023.6
"340",1,2013-01-05 19:00:00,44.06,37.79,11.5078,1023.6
"341",2,2013-01-05 19:00:00,44.06,36.36,9.20624,1024
"342",3,2013-01-05 19:00:00,42.98,42.84,10.35702,1023.6
"343",1,2013-01-05 20:00:00,44.06,37.79,9.20624,1024
"344",2,2013-01-05 20:00:00,44.06,36.36,11.5078,1024.1
"345",3,2013-01-05 20:00:00,42.98,39.38,9.20624,1023.9
"346",1,2013-01-05 21:00:00,42.98,37.9,8.05546,1024.1
"347",2,2013-01-05 21:00:00,42.08,39.23,8.05546,1024.4
"348",3,2013-01-05 21:00:00,42.98,37.9,8.05546,1023.7
"349",1,2013-01-05 22:00:00,41,42.51,4.60312,1024
"350",2,2013-01-05 22:00:00,39.02,48.07,8.05546,1024.2
"351",3,2013-01-05 22:00:00,42.08,42.69,5.7539,1024
"352",1,2013-01-05 23:00:00,39.92,44.33,4.60312,1024.7
"353",2,2013-01-05 23:00:00,37.94,50.14,5.7539,1025
"354",3,2013-01-05 23:00:00,41,40.9,9.20624,1024.5
"355",1,2013-01-06,39.02,49.93,8.05546,1025
"356",2,2013-01-06,35.96,64.03,9.20624,1025.2
"357",3,2013-01-06,39.92,48.21,0,1024.4
"358",1,2013-01-06 01:00:00,35.96,56.32,6.90468,1024.8
"359",2,2013-01-06 01:00:00,35.06,61.08,8.05546,1025.3
"360",3,2013-01-06 01:00:00,39.92,46.41,5.7539,1024.7
"361",1,2013-01-06 02:00:00,33.98,60.93,4.60312,1024.2
"362",2,2013-01-06 02:00:00,33.98,63.77,5.7539,1024.2
"363",3,2013-01-06 02:00:00,39.02,49.93,3.45234,1024
"364",1,2013-01-06 03:00:00,33.08,66.11,4.60312,1024.1
"365",2,2013-01-06 03:00:00,33.98,66.72,5.7539,1024.6
"366",3,2013-01-06 03:00:00,39.02,48.07,8.05546,1023.9
"367",1,2013-01-06 04:00:00,33.08,66.11,4.60312,1023.3
"368",2,2013-01-06 04:00:00,33.98,66.72,8.05546,1023.9
"369",3,2013-01-06 04:00:00,37.94,50.14,3.45234,1023.1
"370",1,2013-01-06 05:00:00,32,69.04,4.60312,1022.8
"371",2,2013-01-06 05:00:00,35.06,66.36,8.05546,1023.2
"372",3,2013-01-06 05:00:00,37.94,50.14,5.7539,1022.6
"373",1,2013-01-06 06:00:00,33.98,63.77,5.7539,1023.3
"374",2,2013-01-06 06:00:00,35.06,66.36,8.05546,1023.8
"375",3,2013-01-06 06:00:00,37.94,50.14,5.7539,1023.1
"376",1,2013-01-06 07:00:00,33.98,63.77,9.20624,1023.4
"377",2,2013-01-06 07:00:00,35.06,66.36,6.90468,1023.9
"378",3,2013-01-06 07:00:00,37.04,51.95,6.90468,1023.1
"379",1,2013-01-06 08:00:00,33.98,63.77,4.60312,1022.5
"380",2,2013-01-06 08:00:00,35.06,69.4,8.05546,1023
"381",3,2013-01-06 08:00:00,35.96,54.21,10.35702,1022.2
"382",1,2013-01-06 09:00:00,33.98,66.72,5.7539,1021.7
"383",2,2013-01-06 09:00:00,35.96,66.97,8.05546,1022.1
"384",3,2013-01-06 09:00:00,37.04,51.95,6.90468,1021.5
"385",1,2013-01-06 10:00:00,33.08,81.5,8.05546,1020.5
"386",2,2013-01-06 10:00:00,33.8,74.63,10.35702,NA
"387",3,2013-01-06 10:00:00,35.06,72.03,10.35702,1020.5
"388",1,2013-01-06 11:00:00,33.8,86.49,4.60312,NA
"389",2,2013-01-06 11:00:00,33.08,91.66,8.05546,1020.9
"390",3,2013-01-06 11:00:00,35.6,74.8,8.05546,NA
"391",1,2013-01-06 12:00:00,33.98,88.42,5.7539,1020.3
"392",2,2013-01-06 12:00:00,33.8,86.49,10.35702,NA
"393",3,2013-01-06 12:00:00,35.6,74.8,9.20624,NA
"394",1,2013-01-06 13:00:00,33.8,93.03,9.20624,NA
"395",2,2013-01-06 13:00:00,35.6,93.08,11.5078,NA
